Track Name,Artists,Spotify URL
party 4 u,Charli xcx,https://open.spotify.com/track/2RdEC8Ff83WkX7kDVCHseE
No One Noticed,The Marías,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5
End of Beginning,Djo,https://open.spotify.com/track/3qhlB30KknSejmIvZZLjOD
Iris,The Goo Goo Dolls,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
Apocalypse,Cigarettes After Sex,https://open.spotify.com/track/1oAwsWBovWRIp7qLMGPIet
"Good Luck, Babe!",Chappell Roan,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
Sailor Song,Gigi Perez,https://open.spotify.com/track/2262bWmqomIaJXwCRHr13j
CHIHIRO,Billie Eilish,https://open.spotify.com/track/7BRD7x5pt8Lqa1eGYC4dzj
Who,Jimin,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU
As It Was,Harry Styles,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
